wavelength,obs_flux,obs_err,mod_flux
6177.921326942077,7.709494242231016e-05,6.837681664539022e-06,0.08083360594490728
6224.214921950503,6.49450384369858e-05,1.371566336690797e-05,0.0807136246680679
6271.4879585698345,3.861385155425103e-05,1.6381850740182532e-05,0.08059220403974142
6319.771784164849,5.1762574134583046e-05,1.9095837279026702e-05,0.08046931477684979
6369.098784061705,6.919228701435011e-05,2.033462288025045e-05,0.08034492750013812
6419.499997400153,6.894593789072014e-05,1.9133327321156312e-05,0.08021901877190357
6471.010343030203,3.527637965351675e-05,1.7910539731326692e-05,0.0800915580528128
6688.886000918553,2.7055912881187388e-05,2.2022529492062738e-05,0.07956557675406523
6746.511180165914,3.762629853239607e-05,2.082603138490275e-05,0.07942989023692472
